DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20200612,12/06/2020,Friday,June,Jun,6,2,2020
20200613,13/06/2020,Saturday,June,Jun,6,2,2020
20200614,14/06/2020,Sunday,June,Jun,6,2,2020
20200615,15/06/2020,Monday,June,Jun,6,2,2020
20200616,16/06/2020,Tuesday,June,Jun,6,2,2020
20200617,17/06/2020,Wednesday,June,Jun,6,2,2020
20200618,18/06/2020,Thursday,June,Jun,6,2,2020
20200619,19/06/2020,Friday,June,Jun,6,2,2020
20200620,20/06/2020,Saturday,June,Jun,6,2,2020
20200621,21/06/2020,Sunday,June,Jun,6,2,2020
20200622,22/06/2020,Monday,June,Jun,6,2,2020
20200623,23/06/2020,Tuesday,June,Jun,6,2,2020
20200624,24/06/2020,Wednesday,June,Jun,6,2,2020
20200625,25/06/2020,Thursday,June,Jun,6,2,2020
20200626,26/06/2020,Friday,June,Jun,6,2,2020
20200627,27/06/2020,Saturday,June,Jun,6,2,2020
20200628,28/06/2020,Sunday,June,Jun,6,2,2020
20200629,29/06/2020,Monday,June,Jun,6,2,2020
20200630,30/06/2020,Tuesday,June,Jun,6,2,2020
20200701,01/07/2020,Wednesday,July,Jul,7,3,2020
20200702,02/07/2020,Thursday,July,Jul,7,3,2020
20200703,03/07/2020,Friday,July,Jul,7,3,2020
20200704,04/07/2020,Saturday,July,Jul,7,3,2020
20200705,05/07/2020,Sunday,July,Jul,7,3,2020
20200706,06/07/2020,Monday,July,Jul,7,3,2020
20200707,07/07/2020,Tuesday,July,Jul,7,3,2020
20200708,08/07/2020,Wednesday,July,Jul,7,3,2020
20200709,09/07/2020,Thursday,July,Jul,7,3,2020
20200710,10/07/2020,Friday,July,Jul,7,3,2020
20200711,11/07/2020,Saturday,July,Jul,7,3,2020
20200712,12/07/2020,Sunday,July,Jul,7,3,2020
20200713,13/07/2020,Monday,July,Jul,7,3,2020
20200714,14/07/2020,Tuesday,July,Jul,7,3,2020
20200715,15/07/2020,Wednesday,July,Jul,7,3,2020
20200716,16/07/2020,Thursday,July,Jul,7,3,2020
20200717,17/07/2020,Friday,July,Jul,7,3,2020
20200718,18/07/2020,Saturday,July,Jul,7,3,2020
20200719,19/07/2020,Sunday,July,Jul,7,3,2020
20200720,20/07/2020,Monday,July,Jul,7,3,2020
20200721,21/07/2020,Tuesday,July,Jul,7,3,2020
20200722,22/07/2020,Wednesday,July,Jul,7,3,2020
20200723,23/07/2020,Thursday,July,Jul,7,3,2020
20200724,24/07/2020,Friday,July,Jul,7,3,2020
20200725,25/07/2020,Saturday,July,Jul,7,3,2020
20200726,26/07/2020,Sunday,July,Jul,7,3,2020
20200727,27/07/2020,Monday,July,Jul,7,3,2020
20200728,28/07/2020,Tuesday,July,Jul,7,3,2020
20200729,29/07/2020,Wednesday,July,Jul,7,3,2020
20200730,30/07/2020,Thursday,July,Jul,7,3,2020
20200731,31/07/2020,Friday,July,Jul,7,3,2020
20200801,01/08/2020,Saturday,August,Aug,8,3,2020
20200802,02/08/2020,Sunday,August,Aug,8,3,2020
20200803,03/08/2020,Monday,August,Aug,8,3,2020
